X,Y,NOME_UF,TIPO,DATA_INI_U,DATA_INI_1,ACES,ULS,ARS,COD_POSTAL,COD_POST_1,DES_FREGUE,DES_CONCEL,WGS84_LAT_,WGS84_LONG,field_14,icon_url
-9.42111,38.7027,USF Cidadela,USF-A,9/24/2009,9/24/2009,ACES Cascais,,ARS Lisboa e Vale do Tejo,2750-437,Cascais,Uni?o das freguesias de Cascais e Estoril,Cascais,38.702700000000000,-9.421110000000001,LISBOA,./0.png
-9.4072,38.7301,USF S?o Martinho de Alcabideche,USF-A,10-02-12,10-02-12,ACES Cascais,,ARS Lisboa e Vale do Tejo,2645-559,Alcabideche,Alcabideche,Cascais,38.730100000000000,-9.407200000000000,LISBOA,./0.png
-9.38151,38.6988,USF Marginal,USF-B,4/19/2007,05-01-08,ACES Cascais,,ARS Lisboa e Vale do Tejo,2765-618,Estoril,Uni?o das freguesias de Cascais e Estoril,Cascais,38.698799999999999,-9.381510000000000,LISBOA,./0.png
-9.16321,38.8252,USF LoureSaud vel,USF-A,7/30/2009,7/30/2009,ACES Loures / Odivelas,,ARS Lisboa e Vale do Tejo,2670-487,Loures,Loures,Loures,38.825200000000002,-9.163209999999999,LISBOA,./0.png
-9.16321,38.8252,USF Parque da Cidade,USF-A,12/16/2009,12/16/2009,ACES Loures / Odivelas,,ARS Lisboa e Vale do Tejo,2670-487,Loures,Loures,Loures,38.825200000000002,-9.163209999999999,LISBOA,./0.png
-9.16113,38.8135,USF Magn¢lia,USF-B,12/28/2007,08-01-08,ACES Loures / Odivelas,,ARS Lisboa e Vale do Tejo,2660-243,Santo Ant¢nio dos Cavaleiros,Uni?o das freguesias de Santo Ant¢nio dos Cavaleiros e Frielas,Loures,38.813499999999998,-9.161130000000000,LISBOA,./0.png
-9.16113,38.8135,USF ARS M‚dica,USF-B,09-10-09,07-01-12,ACES Loures / Odivelas,,ARS Lisboa e Vale do Tejo,2670-243,Santo Ant¢nio dos Cavaleiros,Bucelas,Loures,38.813499999999998,-9.161130000000000,LISBOA,./0.png
-9.31023,39.2429,USF D. Jord?o,USF-B,7/17/2009,07-01-12,ACES Oeste Sul,,ARS Lisboa e Vale do Tejo,2530-117,Lourinh?,Uni?o das freguesias de Lourinh? e Atalaia,Lourinh?,39.242899999999999,-9.310230000000001,LISBOA,./0.png
-9.14541,38.7075,USF Ribeira Nova,USF-A,03-11-14,03-11-14,ACES Lisboa Central,,ARS Lisboa e Vale do Tejo,1200-375,Lisboa,Miseric¢rdia,Lisboa,38.707500000000003,-9.145410000000000,LISBOA,./0.png
-9.41445,38.9692,USF Ouriceira,USF-A,6/15/2011,6/15/2011,ACES Oeste Sul,,ARS Lisboa e Vale do Tejo,2655-354,Ericeira,Ericeira,Mafra,38.969200000000001,-9.414450000000000,LISBOA,./0.png
-9.33605,38.9368,USF Andreas,USF-B,12/28/2009,1/30/2014,ACES Oeste Sul,,ARS Lisboa e Vale do Tejo,2640-465,Mafra,Mafra,Mafra,38.936799999999998,-9.336050000000000,LISBOA,./0.png
-9.12266,38.7596,USF S?o Jo?o Evangelista dos L¢ios,USF-B,5/27/2008,01-01-12,ACES Lisboa Central,,ARS Lisboa e Vale do Tejo,1950-239,Lisboa,Marvila,Lisboa,38.759599999999999,-9.122660000000000,LISBOA,./0.png
-9.18102,38.7916,USF Cruzeiro,USF-A,06-02-11,06-02-11,ACES Loures / Odivelas,,ARS Lisboa e Vale do Tejo,2675-297,Odivelas,Odivelas,Odivelas,38.791600000000003,-9.181020000000000,LISBOA,./0.png
-9.16477,38.804,USF G‚nesis,USF-A,8/23/2013,8/23/2013,ACES Loures / Odivelas,,ARS Lisboa e Vale do Tejo,2620-183,P¢voa de Santo Adri?o,Uni?o das freguesias de P¢voa de Santo Adri?o e Olival Basto,Odivelas,38.804000000000002,-9.164770000000001,LISBOA,./0.png
